MDN_APH_B

Subject:	19
Date: 11/23/2021 10:14:39
Run: 1
Buttons: 1/2

stimulus_audio	time_audio	length_audio	stimulus_picture	time_picture	response_time	absolute_response_time	button_response	accuracy	condition	correctness	category	occurence_pic	repeat_pic	repeat_category	ISI	time_ISI
walze_word	22831	1080	Sichel	23926	25279	1352	1	correct	WPM	incorrect	Werkzeug	1	3	3	700	26342
aprikose_incorrect	27309	1040	Aprikose	28358	30086	1727	1	correct	FPM	incorrect	Fruechte	1	140	5	700	30824
moewe_correct	31641	1410	Moewe	33057	34509	1452	2	correct	FPM	correct	Voegel	1	173	13	700	35156
fuchs_incorrect	36039	1230	Fuchs	37289	38917	1627	1	correct	FPM	incorrect	Saeugetiere	1	99	6	700	39555
sichel_correct	40338	1170	Sichel	41521	42796	1274	2	correct	FPM	correct	Werkzeug	2		7	900	43854
feile_incorrect	44854	1170	Feile	46037	47545	1507	1	correct	FPM	incorrect	Werkzeug	1	6	6	900	48369
handschuh_word	49402	1460	Mantel	50868	52154	1285	1	correct	WPM	incorrect	Kleidung	1	6	1	900	52918
zitrone_word	53918	1210	Zitrone	55134	56004	870	2	correct	WPM	correct	Fruechte	1	114	44	900	57433
jeans_incorrect	58433	1110	Jeans	59549	60777	1227	1	correct	FPM	incorrect	Kleidung	1	138	4	900	61949
flugzeug_word	62998	1010	Flugzeug	64015	65078	1062	2	correct	WPM	correct	Fortbewegungsmittel	1	35	10	900	66514
kamel_word	67547	1510	Biber	69063	69905	841	1	correct	WPM	incorrect	Saeugetiere	1	130	7	1200	71063
kamel_correct	72362	1510	Kamel	73879	74743	864	2	correct	FPM	correct	Saeugetiere	1	50	6	700	75878
feile_word	76711	1290	Feile	78011	79055	1044	2	correct	WPM	correct	Werkzeug	2		14	1200	80227
mantel_correct	81543	990	Mantel	82543	83924	1381	1	incorrect	FPM	correct	Kleidung	2		1	1200	85059
regal_word	86342	1030	Hocker	87391	89476	2084	1	correct	WPM	incorrect	Moebel	1	101	4	900	89857
socke_word	90890	1280	Socke	92173	93043	869	2	correct	WPM	correct	Kleidung	1	138	1	700	94406
geier_word	95222	1050	Spatz	96289	97622	1333	1	correct	WPM	incorrect	Voegel	1	149	11	1200	98738
