MDN_APH_B

Subject:	17
Date: 11/12/2021 13:10:59
Run: 2
Buttons: 1/2

stimulus_audio	time_audio	length_audio	stimulus_picture	time_picture	response_time	absolute_response_time	button_response	accuracy	condition	correctness	category	occurence_pic	repeat_pic	repeat_category	ISI	time_ISI
sofa_word	7750	1140	Tisch	8897	10081	1184	1	correct	WPM	incorrect	Moebel	1	76	6	900	11263
elster_word	12196	1110	Gans	13313	14551	1238	1	correct	WPM	incorrect	Voegel	1	60	7	700	15712
moehre_correct	16445	1190	Moehre	17645	19707	2061	2	correct	FPM	correct	Gemuese	1	86	8	1200	19961
bueffel_incorrect	21194	1440	Bueffel	22643	24662	2019	1	correct	FPM	incorrect	Saeugetiere	1	41	2	1200	24709
ananas_word	25942	1370	Ananas	27325	29100	1774	2	correct	WPM	correct	Fruechte	1	114	8	700	29458
ziege_word	30191	1290	Fledermaus	31491	33061	1570	1	correct	WPM	incorrect	Saeugetiere	1	8	2	700	33707
hocker_incorrect	34440	1240	Hocker	35690	37316	1625	1	correct	FPM	incorrect	Moebel	1	116	3	700	37956
seehund_correct	38689	1360	Seehund	40055	41376	1321	2	correct	FPM	correct	Saeugetiere	1	43	6	1200	42204
wellensittich_word	43437	1170	Reiher	44620	45927	1306	1	correct	WPM	incorrect	Voegel	1	111	8	1200	46953
bank_incorrect	48186	1220	Bank	49419	50575	1155	1	correct	FPM	incorrect	Moebel	1	108	13	700	51702
sellerie_word	52435	1200	Sellerie	53651	56005	2353	2	correct	WPM	correct	Gemuese	1	113	4	1200	55950
meissel_word	57184	1220	Meissel	58416	60108	1692	2	correct	WPM	correct	Werkzeug	1	10	10	700	60699
birne_incorrect	61432	1410	Birne	62849	65788	2939	1	correct	FPM	incorrect	Fruechte	1	113	5	1200	64948
fledermaus_correct	66181	1190	Fledermaus	67381	68963	1582	2	correct	FPM	correct	Saeugetiere	2		6	700	69697
avocado_correct	70430	1400	Avocado	71846	72913	1067	2	correct	FPM	correct	Gemuese	1	33	27	700	73945
fahrrad_correct	74679	1320	Fahrrad	76011	76709	697	2	correct	FPM	correct	Fortbewegungsmittel	1	134	5	1200	78194
wellensittich_correct	79427	1330	Wellensittich	80777	81849	1072	2	correct	FPM	correct	Voegel	1	113	18	900	82943
kirsche_word	83876	1040	Kiwi	84926	86726	1800	1	correct	WPM	incorrect	Fruechte	1	148	9	700	87392
bluse_incorrect	88125	1530	Bluse	89674	91231	1556	1	correct	FPM	incorrect	Kleidung	1	41	14	700	91640
lama_word	92374	990	Lama	93373	94216	842	2	correct	WPM	correct	Saeugetiere	1	9	4	900	95889
zug_correct	96822	1240	Zug	98072	100440	2368	2	correct	FPM	correct	Fortbewegungsmittel	1	72	16	700	100338
meissel_incorrect	101071	1310	Meissel	102387	104370	1982	2	incorrect	FPM	incorrect	Werkzeug	2		3	1200	104587
drehstuhl_correct	105820	1300	Drehstuhl	107136	108556	1420	2	correct	FPM	correct	Moebel	1	60	5	1200	109335
eichhoernchen_correct	110568	980	Eichhoernchen	111551	113076	1525	2	correct	FPM	correct	Saeugetiere	1	153	2	3000	114084
schleifpapier_incorrect	122132	1150	Schleifpapier	123298	125276	1978	2	incorrect	FPM	incorrect	Werkzeug	1	31	6	700	125647
fuchs_correct	126380	1390	Fuchs	127780	129559	1778	2	correct	FPM	correct	Saeugetiere	1	55	3	900	129896
aprikose_correct	130829	1000	Aprikose	131846	134381	2535	2	correct	FPM	correct	Fruechte	1	22	22	700	134345
wiege_correct	135078	1430	Wiege	136528	138580	2066	2	correct	FPM	correct	Moebel	1	4	2	700	138594
lama_incorrect	139327	960	Lama	140293	143232	2938	1	correct	FPM	incorrect	Saeugetiere	2		15	900	142842
tisch_word	143776	1160	Sofa	144942	146315	1373	1	correct	WPM	incorrect	Moebel	1	83	2	900	147291
maurerkelle_correct	148224	990	Maurerkelle	149224	150619	1395	1	incorrect	FPM	correct	Werkzeug	1	7	7	700	151740
truhe_word	152473	1450	Wiege	153939	156049	2109	1	correct	WPM	incorrect	Moebel	2		4	900	155989
kleid_correct	156922	1220	Kleid	158155	161127	2971	2	correct	FPM	correct	Kleidung	1	132	1	700	160437
jeans_word	161171	1300	Socke	162487	163685	1198	1	correct	WPM	incorrect	Kleidung	1	42	5	900	164686
ente_incorrect	165619	1110	Ente	166736	169086	2350	1	correct	FPM	incorrect	Voegel	1	81	5	1200	169135
truhe_correct	170368	1300	Truhe	171684	174086	2402	2	correct	FPM	correct	Moebel	1	147	10	1200	173884
flugzeug_correct	175117	1220	Flugzeug	176350	177758	1408	2	correct	FPM	correct	Fortbewegungsmittel	1	118	24	700	178632
feile_word	179365	1110	Maurerkelle	180482	182061	1579	1	correct	WPM	incorrect	Werkzeug	2		18	1200	182881
hemd_correct	184114	1130	Hemd	185264	187857	2593	2	correct	FPM	correct	Kleidung	1	64	2	700	187630
pinguin_word	188363	1170	Adler	189546	191244	1698	1	correct	WPM	incorrect	Voegel	1	23	12	1200	191878
pullover_word	193111	1240	Pullover	194361	197141	2779	2	correct	WPM	correct	Kleidung	1	31	9	900	196627
moehre_word	197560	1120	Paprika	198693	200030	1337	1	correct	WPM	incorrect	Gemuese	1	100	1	900	201076
kohlrabi_incorrect	202009	980	Kohlrabi	203009	204886	1877	1	correct	FPM	incorrect	Gemuese	1	23	5	900	205525
kamel_word	206458	1410	Kamel	207874	209023	1148	2	correct	WPM	correct	Saeugetiere	1	145	1	1200	209973
bueffel_word	211206	1280	Bueffel	212506	213576	1070	2	correct	WPM	correct	Saeugetiere	2		2	900	214722
schaukelstuhl_correct	215655	1130	Schaukelstuhl	216805	218349	1544	2	correct	FPM	correct	Moebel	1	140	9	700	219171
wal_correct	219904	1160	Wal	221070	223575	2504	2	correct	FPM	correct	Saeugetiere	1	38	4	900	223419
zwiebel_word	224353	1330	Avocado	225702	227021	1318	1	correct	WPM	incorrect	Gemuese	2		5	3000	227868
orange_word	235899	1060	Aprikose	236966	239512	2546	1	correct	WPM	incorrect	Fruechte	2		22	1200	239415
handschuh_word	240648	1180	Handschuh	241848	242932	1084	2	correct	WPM	correct	Kleidung	1	47	4	900	244164
eichhoernchen_word	245097	1180	Seehund	246296	247725	1428	1	correct	WPM	incorrect	Saeugetiere	2		22	700	248612
eule_word	249345	1590	Eule	250945	252111	1165	2	correct	WPM	correct	Voegel	1	35	6	1200	252861
radieschen_incorrect	254094	1310	Radieschen	255410	257316	1905	2	incorrect	FPM	incorrect	Gemuese	1	38	12	900	257610
schlafanzug_incorrect	258543	1100	Schlafanzug	259659	262485	2825	1	correct	FPM	incorrect	Kleidung	1	110	6	700	262058
regal_incorrect	262792	990	Regal	263791	265148	1357	1	correct	FPM	incorrect	Moebel	1	116	4	1200	266307
schleifpapier_word	267557	1040	Schleifpapier	268607	270946	2339	2	correct	WPM	correct	Werkzeug	2		1	900	271073
walze_word	272006	1070	Walze	273089	274592	1502	1	incorrect	WPM	correct	Werkzeug	1	21	11	700	275521
meise_incorrect	276254	1300	Meise	277571	279874	2302	2	incorrect	FPM	incorrect	Voegel	1	89	4	900	279770
schrank_incorrect	280720	870	Schrank	281603	283401	1798	1	correct	FPM	incorrect	Moebel	1	23	18	900	284235
bluse_word	285169	1110	Bluse	286285	288230	1945	2	correct	WPM	correct	Kleidung	2		10	700	288684
taxi_word	289434	1130	Taxi	290584	291650	1065	2	correct	WPM	correct	Fortbewegungsmittel	1	49	3	700	292950
gans_correct	293683	1240	Gans	294932	296454	1521	2	correct	FPM	correct	Voegel	2		1	1200	297198
adler_correct	298431	1450	Adler	299898	301867	1969	2	correct	FPM	correct	Voegel	2		16	900	301947
faehre_incorrect	302897	1040	Faehre	303946	306200	2253	1	correct	FPM	incorrect	Fortbewegungsmittel	1	72	3	1200	306412
weisskohl_word	307646	1260	Weisskohl	308912	310886	1974	1	incorrect	WPM	correct	Gemuese	1	50	1	1200	311161
kohlrabi_word	312394	1190	Kohlrabi	313594	316131	2537	2	correct	WPM	correct	Gemuese	2		3	1200	315910
schiff_incorrect	317143	1030	Schiff	318192	319666	1473	1	correct	FPM	incorrect	Fortbewegungsmittel	1	32	23	900	320658
axt_correct	321592	940	Axt	322541	NaN	NaN	NaN	NaN	FPM	correct	Werkzeug	1	75	10	900	325107
spargel_correct	326040	1030	Spargel	327090	329007	1917	2	correct	FPM	correct	Gemuese	1	72	19	700	329556
mantel_incorrect	330289	1020	Mantel	331322	333536	2214	1	correct	FPM	incorrect	Kleidung	1	112	2	700	333805
aprikose_word	334538	1460	Orange	336004	338353	2348	1	correct	WPM	incorrect	Fruechte	1	37	3	900	338053
pullover_incorrect	338987	1440	Pullover	340436	342750	2314	1	correct	FPM	incorrect	Kleidung	2		4	3000	342502
fledermaus_word	350533	1150	Ziege	351700	353383	1683	1	correct	WPM	incorrect	Saeugetiere	1	112	8	1200	354049
zitrone_correct	355282	1300	Zitrone	356598	358004	1405	2	correct	FPM	correct	Fruechte	1	83	1	700	358798
dattel_word	359531	1240	Dattel	360780	362825	2044	2	correct	WPM	correct	Fruechte	1	19	19	900	363046
socke_correct	363979	1240	Socke	365229	367037	1808	2	correct	FPM	correct	Kleidung	2		16	1200	367495
tisch_correct	368728	1010	Tisch	369744	371544	1799	2	correct	FPM	correct	Moebel	2		5	1200	372244
walze_incorrect	373477	1360	Walze	374843	376608	1764	1	correct	FPM	incorrect	Werkzeug	2		2	1200	376992
geier_word	378225	1190	Geier	379425	380353	928	2	correct	WPM	correct	Voegel	1	33	8	1200	381741
schraubenzieher_word	382974	1190	Schraubenzieher	384174	385330	1156	2	correct	WPM	correct	Werkzeug	1	104	6	700	386490
wal_word	387223	970	Fuchs	388206	389476	1270	1	correct	WPM	incorrect	Saeugetiere	2		3	700	390738
schrank_word	391488	940	Schrank	392438	393365	927	2	correct	WPM	correct	Moebel	2		1	700	395004
schaukelstuhl_word	395737	1350	Drehstuhl	397103	398634	1530	1	correct	WPM	incorrect	Moebel	2		12	1200	399253
tiger_word	400486	1150	Tiger	401652	402414	761	2	correct	WPM	correct	Saeugetiere	1	23	1	1200	404001
fuchs_word	405234	1430	Wal	406684	408344	1659	1	correct	WPM	incorrect	Saeugetiere	2		22	900	408750
